
#######################################################################################
############# Everything until North Germanic is not yet Sorted!!! ####################
#######################################################################################

###########################################################
################ North Germanic ###########################
###########################################################

#######################################
############# Norse ###################
#######################################

e_scandinavia;Norrœnland;;;;;;;;;;;;;x
e_scandinavia_adj;Norrøn;;;;;;;;;;;;;x

empire_norse;Ríki;;;;;;;;;;;;;x
kingdom_norse;Ríki;;;;;;;;;;;;;x
duchy_norse;Hertogadœmi;;;;;;;;;;;;;x
county_norse;Jarldœmi;;;;;;;;;;;;;x
barony_norse;Burhfæsten;;;;;;;;;;;;;x

empire_of_norse;Ríki af;;;;;;;;;;;;;x
kingdom_of_norse;Ríki af;;;;;;;;;;;;;x
duchy_of_norse;Hertogadœmi af;;;;;;;;;;;;;x
county_of_norse;Jarldœmi af;;;;;;;;;;;;;x
barony_of_norse;Burhfæsten af;;;;;;;;;;;;;x


emperor_title_prince_norse;Keisarisson;;;;;;;;;;;;;x
emperor_title_prince_female_norse;Keisarisdóttir;;;;;;;;;;;;;x
king_title_prince_norse;Konungsson;;;;;;;;;;;;;x
king_title_prince_female_norse;Konungsdóttir;;;;;;;;;;;;;x
duke_title_prince_norse;Hertogisson;;;;;;;;;;;;;x
duke_title_prince_female_norse;Hertogisdóttir;;;;;;;;;;;;;x			#Fixed by @Karl on steam
count_title_prince_norse;Jarlsson;;;;;;;;;;;;;x
count_title_prince_female_norse;Jarlsdóttir;;;;;;;;;;;;;x
baron_title_prince_norse;Herra;;;;;;;;;;;;;x
baron_title_prince_female_norse;Fru;;;;;;;;;;;;;x
title_prince_norse;Prinz;;;;;;;;;;;;;x
title_prince_female_norse;Prinzessa;;;;;;;;;;;;;x


emperor_norse;Keisari;;;;;;;;;;;;;x
emperor_female_norse;Keisarinna;;;;;;;;;;;;;x
king_norse;Konungr;;;;;;;;;;;;;x
king_female_norse;Dróttning;;;;;;;;;;;;;x
duke_norse;Hertogi;;;;;;;;;;;;;x
duke_female_norse;Hertogin;;;;;;;;;;;;;x
count_norse;Jarl;;;;;;;;;;;;;x
count_female_norse;Jarlínni;;;;;;;;;;;;;x
baron_norse;Þegn;;;;;;;;;;;;;x
baron_female_norse;Þegn;;;;;;;;;;;;;x

city_baron_norse;Borgameistari;;;;;;;;;;;;;x
city_baron_female_norse;Borgameistari;;;;;;;;;;;;;x
city_barony_norse;Borg;;;;;;;;;;;;;x
city_barony_of_norse;Borg;;;;;;;;;;;;;x

tribal_empire_norse;Ríki;;;;;;;;;;;;;x
tribal_kingdom_norse;Ríki;;;;;;;;;;;;;x
tribal_duchy_norse;Byggðasamlag;;;;;;;;;;;;;x
tribal_county_norse;þorp;;;;;;;;;;;;;x

tribal_empire_of_norse;Ríki af;;;;;;;;;;;;;x
tribal_kingdom_of_norse;Ríki af;;;;;;;;;;;;;x
tribal_duchy_of_norse;Byggðasamlag af;;;;;;;;;;;;;x
tribal_county_of_norse;þorp af;;;;;;;;;;;;;x

tribal_emperor_norse;Keisari;;;;;;;;;;;;;x
tribal_emperor_female_norse;Keisarinna;;;;;;;;;;;;;x
tribal_king_norse;Konungr;;;;;;;;;;;;;x
tribal_king_female_norse;Dróttning;;;;;;;;;;;;;x
tribal_duke_norse;Hertogi;;;;;;;;;;;;;x
tribal_duke_female_norse;Hertogin;;;;;;;;;;;;;x
tribal_count_norse;Hofðingi;;;;;;;;;;;;;x
tribal_count_female_norse;Hofðingi;;;;;;;;;;;;;x

tribal_emperor_title_prince_norse;Keisarisson;;;;;;;;;;;;;x
tribal_emperor_title_prince_female_norse;Keisarissdóttir;;;;;;;;;;;;;x
tribal_king_title_prince_norse;Konungsson;;;;;;;;;;;;;x
tribal_king_title_prince_female_norse;Konungssdóttir;;;;;;;;;;;;;x
tribal_duke_title_prince_norse;Hertogisson;;;;;;;;;;;;;x
tribal_duke_title_prince_female_norse;Hertogissdóttir;;;;;;;;;;;;;x
tribal_count_title_prince_norse;Herra;;;;;;;;;;;;;x
tribal_count_title_prince_female_norse;Fru;;;;;;;;;;;;;x
tribal_baron_title_prince_norse;Herra;;;;;;;;;;;;;x
tribal_baron_title_prince_female_norse;Fru;;;;;;;;;;;;;x
tribal_title_prince_norse;Prinz;;;;;;;;;;;;;x
tribal_title_prince_female_norse;Prinzessa;;;;;;;;;;;;;x

job_chancellor_norse;Kansler;;;;;;;;;;;;;x
job_marshal_norse;Stallari;;;;;;;;;;;;;x
job_treasurer_norse;Auðr;;;;;;;;;;;;;x
job_spymaster_norse;Aðalsrád;;;;;;;;;;;;;x

POPE_norse;Páfi;;;;;;;;;;;;;x

###########################################
############# Norwegian ###################
###########################################

k_norway;Noreg;;;;;;;;;;;;;x


kingdom_norwegian;Kongeriket;;;;;;;;;;;;;x
kingdom_of_norwegian;Kongeriket av;;;;;;;;;;;;;x
duchy_of_norwegian;Hertuget av;;;;;;;;;;;;;x
county_of_norwegian;Greve av;;;;;;;;;;;;;x
barony_of_norwegian;Lendmann av;;;;;;;;;;;;;x
city_of_norwegian;Byen av;;;;;;;;;;;;;x

emperor_norwegian;Keiser;;;;;;;;;;;;;x
emperor_female_norwegian;Keiserinne;;;;;;;;;;;;;x
king_norwegian;Kong;;;;;;;;;;;;;x
king_female_norwegian;Dronning;;;;;;;;;;;;;x
title_prince_norwegian;Prins;;;;;;;;;;;;;x
title_prince_female_norwegian;Prinsesse;;;;;;;;;;;;;x
duke_norwegian;Hertug;;;;;;;;;;;;;x
duke_female_norwegian;Hertuginne;;;;;;;;;;;;;x
count_norwegian;Grev;;;;;;;;;;;;;x
count_female_norwegian;Grevinne;;;;;;;;;;;;;x
baron_norwegian;Lendmann;;;;;;;;;;;;;x
city_baron_norwegian;Ordfører;;;;;;;;;;;;;x

tribal_duke_norwegian;Storhøvding;;;;;;;;;;;;;x
tribal_count_norwegian;Høvding;;;;;;;;;;;;;x

job_chancellor_norwegian;Kansler;;;;;;;;;;;;;x
job_marshal_norwegian;Hærfører;;;;;;;;;;;;;x
job_treasurer_norwegian;Kasserer;;;;;;;;;;;;;x
job_spymaster_norwegian;Hemmelighetsholder;;;;;;;;;;;;;x

POPE_norwegian;Pave;;;;;;;;;;;;;x

###########################################
############### Danish ####################
###########################################

k_denmark;Danmark;;;;;;;;;;;;;x


kingdom_danish;Kongeriget;;;;;;;;;;;;;x
kingdom_of_danish;Kongeriget af;;;;;;;;;;;;;x
duchy_of_danish;Hertuger af;;;;;;;;;;;;;x
county_of_danish;Tælle af;;;;;;;;;;;;;x
barony_of_danish;Lendmann af;;;;;;;;;;;;;x
city_of_danish;Byen af;;;;;;;;;;;;;x

emperor_danish;Kejser;;;;;;;;;;;;;x
emperor_female_danish;Kejserinne;;;;;;;;;;;;;x
king_danish;Kong;;;;;;;;;;;;;x
