###########################################################
##################### Latin	###############################
###########################################################
################### Latin is Roman ########################

empire_of_latin;Imperium;;;;;;;;;;;;;x
kingdom_of_latin;Regnum;;;;;;;;;;;;;x
duchy_of_latin;Ducatus;;;;;;;;;;;;;x
county_of_latin;Comitatus;;;;;;;;;;;;;x
city_latin;Urbs;;;;;;;;;;;;;x
city_of_latin;Urbs;;;;;;;;;;;;;x

emperor_latin;Imperator;;;;;;;;;;;;;x
emperor_female_latin;Imperatrix;;;;;;;;;;;;;x
king_latin;Rex;;;;;;;;;;;;;x
king_female_latin;Regina;;;;;;;;;;;;;x
title_prince_latin;Princeps;;;;;;;;;;;;;x
title_prince_female_latin;Principissa;;;;;;;;;;;;;x
title_queen_mother_latin;Regina Mater;;;;;;;;;;;;;x
duke_latin;Dux;;;;;;;;;;;;;x
duke_female_latin;Ducissa;;;;;;;;;;;;;x
count_latin;Comes;;;;;;;;;;;;;x
count_female_latin;Comitissa;;;;;;;;;;;;;x
baron_latin;Baro;;;;;;;;;;;;;x
baron_female_latin;Baronissa;;;;;;;;;;;;;x

tribal_count_latin;Caput;;;;;;;;;;;;;x

city_emperor_latin;Magnus Princeps;;;;;;;;;;;;;x
city_empire_of_latin;Principalitas;;;;;;;;;;;;;x
city_duke_latin;Dux;;;;;;;;;;;;;x
city_king_latin;Serenissimus Dux;;;;;;;;;;;;;x
city_count_latin;Praefectus;;;;;;;;;;;;;x
city_duchy_of_latin;Res publica;;;;;;;;;;;;;x

vice_royalty_duke_latin;Corrector;;;;;;;;;;;;;x
vice_royalty_duke_female_latin;Correctrix;;;;;;;;;;;;;x
vice_royalty_king_latin;Vicarius;;;;;;;;;;;;;x
vice_royalty_king_female_latin;Vicaria;;;;;;;;;;;;;x
vice_royalty_emperor_latin;Praefectus Praetorio;;;;;;;;;;;;;x
vice_royalty_duchy_of_latin;Provincia;;;;;;;;;;;;;x
vice_royalty_kingdom_of_latin;Dioecesis;;;;;;;;;;;;;x
vice_royalty_empire_of_latin;Praefectura Praetorio;;;;;;;;;;;;;x

ECUMENICAL_PATRIARCH_latin;Patriarchae Oecumenico;;;;;;;;;;;;;x
PATRIARCH_IN_THE_EAST_latin;Patriarcha Orientalis;;;;;;;;;;;;;x
COPTIC_POPE_latin;Papa Alexandriae;;;;;;;;;;;;;x
POPE_latin;Papa;;;;;;;;;;;;;x

city_king_latin;Serenissimo Doge;;;;;;;;;;;;;x
