
#######################################
########### Old Frankish ##############
#######################################

empire_of_old_frankish;Riki;;;;;;;;;;;;;x
kingdom_of_old_frankish;Kuningriki;;;;;;;;;;;;;x
duchy_of_old_frankish;Heritogduom;;;;;;;;;;;;;x
county_of_old_frankish;Gravskap;;;;;;;;;;;;;x

emperor_old_frankish;Keisere;;;;;;;;;;;;;x
emperor_female_old_frankish;Keiserin;;;;;;;;;;;;;x
king_old_frankish;Kuning;;;;;;;;;;;;;x
king_female_old_frankish;Kuningin;;;;;;;;;;;;;x
title_prince_old_frankish;Furista;;;;;;;;;;;;;x
title_prince_female_old_frankish;Furistin;;;;;;;;;;;;;x
duke_old_frankish;Heritog;;;;;;;;;;;;;x
duke_female_old_frankish;Heritogin;;;;;;;;;;;;;x
baron_old_frankish;Baro;;;;;;;;;;;;;x
baron_female_old_frankish;Baroin;;;;;;;;;;;;;x

tribal_emperor_old_frankish;Kaiserliche Hovitling;;;;;;;;;;;;;x
tribal_king_old_frankish;König Hovitling;;;;;;;;;;;;;x
tribal_duke_old_frankish;Grothovitling;;;;;;;;;;;;;x
tribal_count_old_frankish;Hovitling;;;;;;;;;;;;;x

tribal_emperor_female_old_frankish;Kaiserin Hovitling;;;;;;;;;;;;;x
tribal_king_female_old_frankish;Königin Hovitling;;;;;;;;;;;;;x
tribal_duke_female_old_frankish;Grothovitling;;;;;;;;;;;;;x
tribal_count_female_old_frankish;Hovitling;;;;;;;;;;;;;x

tribal_empire_of_old_frankish;Stammesreich;;;;;;;;;;;;;x
tribal_kingdom_of_old_frankish;Stammeskönigreich;;;;;;;;;;;;;x
tribal_duchy_of_old_frankish;Hohes Häuptlingstum;;;;;;;;;;;;;x
tribal_county_of_old_frankish;Häuptlingstum;;;;;;;;;;;;;x

tribal_empire_old_frankish;Stammesreich;;;;;;;;;;;;;x
tribal_kingdom_old_frankish;Stammeskönigreich;;;;;;;;;;;;;x
tribal_duchy_old_frankish;Hohes Häuptlingstum;;;;;;;;;;;;;x
tribal_county_old_frankish;Häuptlingstum;;;;;;;;;;;;;x

vice_royalty_king_old_frankish;Underkuning;;;;;;;;;;;;;x
vice_royalty_king_female_old_frankish;Underkuningin;;;;;;;;;;;;;x
vice_royalty_duke_old_frankish;Minniro Underkuning;;;;;;;;;;;;;x
vice_royalty_duke_female_old_frankish;Minniro Underkuningin;;;;;;;;;;;;;x

FYLKIR_old_frankish;Fulcer;;;;;;;;;;;;;x
FYLKJA_old_frankish;Fulcerin;;;;;;;;;;;;;x

#########################################
############## French ###################
#########################################

empire_of_frankish;l’Empire;;;;;;;;;;;;;x
kingdom_of_frankish;Royaume de;;;;;;;;;;;;;x
duchy_of_frankish;Duché de;;;;;;;;;;;;;x
county_of_frankish;Comitat de;;;;;;;;;;;;;x

empire_frankish;l’Empire;;;;;;;;;;;;;x
kingdom_frankish;Royaume;;;;;;;;;;;;;x
duchy_frankish;Duché;;;;;;;;;;;;;x
county_frankish;Comitat;;;;;;;;;;;;;x

tribal_empire_of_frankish;Chefferie Impériale de;;;;;;;;;;;;;x
tribal_kingdom_of_frankish;Chefferie Royale de;;;;;;;;;;;;;x
tribal_duchy_of_frankish;Haute Chefferie de;;;;;;;;;;;;;x
tribal_county_of_frankish;Chefferie de;;;;;;;;;;;;;x

tribal_empire_frankish;Chefferie Impériale;;;;;;;;;;;;;x
tribal_kingdom_frankish;Chefferie Royale;;;;;;;;;;;;;x
tribal_duchy_frankish;Haute Chefferie;;;;;;;;;;;;;x
tribal_county_frankish;Chefferie;;;;;;;;;;;;;x

city_kingdom_of_frankish;République Sérénissime de;;;;;;;;;;;;;x

emperor_frankish;Empereür;;;;;;;;;;;;;x
emperor_frankish_female;Impératrice;;;;;;;;x
king_frankish;Roi;;;;;;;;;;;;;x
king_frankish_female;Reine;;;;;;;;;;;;;x
title_prince;Prince;;;;;;;;;;;;;x
title_prince_female;Princesse;;;;;;;;;;;;;x
duke_frankish;Duc;;;;;;;;;;;;;x
duke_frankish_female;Duchesse;;;;;;;;;;;;;x
count_frankish;Comte;;;;;;;;;;;;;x
count_frankish_female;Comtesse;;;;;;;;;;;;;x
baron_female_frankish;Baronne;;;;;;;;;;;;;x

tribal_emperor_frankish;Chef Impérial;;;;;;;;;;;;;x
tribal_king_frankish;Roi Chef;;;;;;;;;;;;;x
tribal_duke_frankish;Grand Chef;;;;;;;;;;;;;x
tribal_count_frankish;Chef;;;;;;;;;;;;;x

tribal_emperor_female_frankish;Impératrice Cheffe;;;;;;;;;;;;;x
tribal_king_female_frankish;Reine Cheffe;;;;;;;;;;;;;x
tribal_duke_female_frankish;Grand Cheffe;;;;;;;;;;;;;x
tribal_count_female_frankish;Cheffe;;;;;;;;;;;;;x

job_chancellor_frankish;Chancelier;;;;;;;;;;;;;x
job_marshal_frankish;Maréchal;;;;;;;;;;;;;x
job_treasurer_frankish;Trésorier;;;;;;;;;;;;;x
job_spymaster_frankish;Maître espion;;;;;;;;;;;;;x

title_cupbearer_frankish;Échanson;Échanson;Échanson;;Échanson;;;;;;;;;x
title_high_almoner_frankish;Grand Aumonier;Grand Aumonier;Grand Aumonier;;Grand Aumonier;;;;;;;;;x
title_master_of_the_horse_frankish;Grand Écuyer;Grand Écuyer;Grand Écuyer;;Grand Écuyer;;;;;;;;;x
title_master_of_the_hunt_frankish;Grand Veneur;Grand Veneur;Grand Veneur;;Grand Veneur;;;;;;;;;x
title_prince_baron_female_frankish;Princesse;Princesse;Princesse;;Princesse;;;;;;;;;x
