
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CODE;ENGLISH;;;;;;;;;;;;;x

###########################################################
################### [Culture Name] ########################
###########################################################
#### opt; [Culture name] is [Culture English] #############

[culture_name];[Culture name];;;;;;;;;;;;;x


empire_[culture_name];[Title];;;;;;;;;;;;;x
empire_of_[culture_name];[Title];;;;;;;;;;;;;x
kingdom_[culture_name];[Title];;;;;;;;;;;;;x
kingdom_of_[culture_name];[Title];;;;;;;;;;;;;x
duchy_[culture_name];[Title];;;;;;;;;;;;;x
duchy_of_[culture_name];[Title];;;;;;;;;;;;;x
county_[culture_name];[Title];;;;;;;;;;;;;x
county_of_[culture_name];[Title];;;;;;;;;;;;;x
barony_[culture_name];[Title];;;;;;;;;;;;;x
barony_of_[culture_name];[Title];;;;;;;;;;;;;x


job_chancellor_[culture_name];[Title];;;;;;;;;;;;;x
job_marshal_[culture_name];[Title];;;;;;;;;;;;;x
job_treasurer_[culture_name];[Title];;;;;;;;;;;;;x
job_spymaster_[culture_name];[Title];;;;;;;;;;;;;x


emperor_[culture_name];[Title];;;;;;;;;;;;;x
emperor_female_[culture_name];[Title];;;;;;;;;;;;;x
king_[culture_name];[Title];;;;;;;;;;;;;x
king_female_[culture_name];[Title];;;;;;;;;;;;;x
duke_[culture_name];[Title];;;;;;;;;;;;;x
duke_female_[culture_name];[Title];;;;;;;;;;;;;x
count_[culture_name];[Title];;;;;;;;;;;;;x
count_female_[culture_name];[Title];;;;;;;;;;;;;x
baron_[culture_name];[Title];;;;;;;;;;;;;x
baron_female_[culture_name];[Title];;;;;;;;;;;;;x


emperor_title_prince_[culture_name];[Title];;;;;;;;;;;;;x
emperor_title_prince_female_[culture_name];[Title];;;;;;;;;;;;;x
king_title_prince_[culture_name];[Title];;;;;;;;;;;;;x
king_title_prince_female_[culture_name];[Title];;;;;;;;;;;;;x
duke_title_prince_[culture_name];[Title];;;;;;;;;;;;;x
duke_title_prince_female_[culture_name];[Title];;;;;;;;;;;;;x
count_title_prince_[culture_name];[Title];;;;;;;;;;;;;x
count_title_prince_female_[culture_name];[Title];;;;;;;;;;;;;x
title_prince_[culture_name];[Title];;;;;;;;;;;;;x
title_prince_female_[culture_name];[Title];;;;;;;;;;;;;x


vice_royalty_king_[culture_name];[Title];;;;;;;;;;;;;x
vice_royalty_king_female_[culture_name];[Title];;;;;;;;;;;;;x
vice_royalty_kingdom_[culture_name];[Title];;;;;;;;;;;;;x
vice_royalty_kingdom_of_[culture_name];[Title];;;;;;;;;;;;;x

vice_royalty_duke_[culture_name];[Title];;;;;;;;;;;;;x
vice_royalty_duke_female_[culture_name];[Title];;;;;;;;;;;;;x
vice_royalty_duchy_[culture_name];[Title];;;;;;;;;;;;;x
vice_royalty_duchy_of_[culture_name];[Title];;;;;;;;;;;;;x

family_palace_baron_[culture_name];[Title];;;;;;;;;;;;;x
family_palace_baron_female_[culture_name];[Title];;;;;;;;;;;;;x

city_emperor_[culture_name];[Title];;;;;;;;;;;;;x
city_emperor_female_[culture_name];[Title];;;;;;;;;;;;;x
city_empire_[culture_name];[Title];;;;;;;;;;;;;x
city_empire_of_[culture_name];[Title];;;;;;;;;;;;;x

city_king_[culture_name];[Title];;;;;;;;;;;;;x
city_king_female_[culture_name];[Title];;;;;;;;;;;;;x
city_kingdom_[culture_name];[Title];;;;;;;;;;;;;x
city_kingdom_of_[culture_name];[Title];;;;;;;;;;;;;x

city_duke_[culture_name];[Title];;;;;;;;;;;;;x
city_duke_female_[culture_name];[Title];;;;;;;;;;;;;x
city_duchy_[culture_name];[Title];;;;;;;;;;;;;x
city_duchy_of_[culture_name];[Title];;;;;;;;;;;;;x

city_count_[culture_name];[Title];;;;;;;;;;;;;x
city_count_female_[culture_name];[Title];;;;;;;;;;;;;x
city_county_[culture_name];[Title];;;;;;;;;;;;;x
city_county_of_[culture_name];[Title];;;;;;;;;;;;;x


city_baron_[culture_name];Górodom [Title];;;;;;;;;;;;;x
city_baron_female_[culture_name];[Title];;;;;;;;;;;;;x
city_barony_[culture_name];[Title];;;;;;;;;;;;;x
city_barony_of_[culture_name];[Title];;;;;;;;;;;;;x

tribal_emperor_[culture_name];[Title];;;;;;;;;;;;;x
tribal_emperor_female_[culture_name];[Title];;;;;;;;;;;;;x
tribal_king_[culture_name];[Title];;;;;;;;;;;;;x
tribal_king_female_[culture_name];[Title];;;;;;;;;;;;;x
tribal_duke_[culture_name];[Title];;;;;;;;;;;;;x
tribal_duke_female_[culture_name];[Title];;;;;;;;;;;;;x
tribal_count_[culture_name];[Title];;;;;;;;;;;;;x
tribal_count_female_[culture_name];[Title];;;;;;;;;;;;;x

tribal_empire_[culture_name];[Title];;;;;;;;;;;;;x
tribal_kingdom_[culture_name];[Title];;;;;;;;;;;;;x
tribal_duchy_[culture_name];[Title];;;;;;;;;;;;;x
tribal_county_[culture_name];[Title];;;;;;;;;;;;;x
tribal_barony_[culture_name];[Title];;;;;;;;;;;;;x

tribal_empire_of_[culture_name];[Title];;;;;;;;;;;;;x
tribal_kingdom_of_[culture_name];[Title];;;;;;;;;;;;;x
tribal_duchy_of_[culture_name];[Title];;;;;;;;;;;;;x
tribal_barony_of_[culture_name];[Title];;;;;;;;;;;;;x
tribal_barony_of_[culture_name];[Title];;;;;;;;;;;;;x

POPE_[culture_name];[Title];;;;;;;;;;;;;x

#Must have a blank line at the end of the file.
